GPU: NVIDIA GeForce RTX 4090
VRAM: 23.5 GB

======================================================================
Few-Shot Open Set Recognition - Episodic Training Pipeline
Backbone: yamnet
======================================================================

Loading datasets...
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_train_pro_1s.pt
索引映射构建完成，总样本数: 30000

======================================================================
Phase 0a: Contrastive Pre-training (SimCLR → SupCon)
  - First half: SimCLR (all classes, no label leakage)
  - Second half: SupCon (base classes only, discriminative)
  - yamnet last layers unfrozen for acoustic scene adaptation
======================================================================
FeatureExtractor: loaded YAMNet pretrained weights from yamnet.pth (FC layers random)

======================================================================
Phase 0a: Contrastive Pre-training
======================================================================
Samples:         30000
Epochs:          200
Batch size:      2048
Temperature:     0.1
Backbone unfreeze: ['layer7', 'layer8', 'layer9', 'layer10', 'layer11', 'layer12', 'layer13', 'layer14']
Mode:            SimCLR (ep 1-100) → SupCon (ep 101-200)
Base classes:    [0, 1, 2, 3, 4, 5]
======================================================================

Epoch 193/200 [SupCon] | Loss: 7.6814 | LR: 1.01e-06
Epoch 194/200 [SupCon] | Loss: 7.6791 | LR: 7.65e-07
Epoch 195/200 [SupCon] | Loss: 7.6826 | LR: 5.62e-07
Epoch 196/200 [SupCon] | Loss: 7.6793 | LR: 3.96e-07
Epoch 197/200 [SupCon] | Loss: 7.6792 | LR: 2.66e-07
Epoch 198/200 [SupCon] | Loss: 7.6745 | LR: 1.74e-07
Epoch 199/200 [SupCon] | Loss: 7.6823 | LR: 1.18e-07
Epoch 200/200 [SupCon] | Loss: 7.6756 | LR: 1.00e-07

Contrastive pretrained model saved: experiment/yamnet_fewshot_osr17/contrastive_feature_extractor.pth

======================================================================
Phase 0b: Base Class Supervised Fine-tuning
  - Only base classes (no leakage)
  - Unfreeze: ['layer7', 'layer8', 'layer9', 'layer10', 'layer11', 'layer12', 'layer13', 'layer14']
======================================================================

======================================================================
Phase 0b: Base Class Pre-training (no data leakage)
======================================================================
Base classes: [0, 1, 2, 3, 4, 5]
Training samples: 30000
YAMNET fine-tune layers: ['layer7', 'layer8', 'layer9', 'layer10', 'layer11', 'layer12', 'layer13', 'layer14'] (LR=1.0e-06)
FC + Classifier (LR=1.0e-05)
Epochs: 20
======================================================================

Epoch  1/20 | Loss: 1.8253 Acc: 37.10% | LR: 9.94e-07
Epoch  2/20 | Loss: 1.6621 Acc: 44.97% | LR: 9.78e-07
Epoch  3/20 | Loss: 1.5671 Acc: 49.46% | LR: 9.51e-07
Epoch  4/20 | Loss: 1.4761 Acc: 51.97% | LR: 9.14e-07
Epoch  5/20 | Loss: 1.4610 Acc: 55.25% | LR: 8.68e-07
Epoch  6/20 | Loss: 1.4123 Acc: 58.25% | LR: 8.15e-07
Epoch  7/20 | Loss: 1.3710 Acc: 60.51% | LR: 7.54e-07
Epoch  8/20 | Loss: 1.3548 Acc: 61.79% | LR: 6.89e-07
Epoch  9/20 | Loss: 1.3360 Acc: 62.61% | LR: 6.20e-07
Epoch 10/20 | Loss: 1.3178 Acc: 63.60% | LR: 5.50e-07
Epoch 11/20 | Loss: 1.3203 Acc: 64.08% | LR: 4.80e-07
Epoch 12/20 | Loss: 1.3105 Acc: 64.43% | LR: 4.11e-07
Epoch 13/20 | Loss: 1.3155 Acc: 65.11% | LR: 3.46e-07
Epoch 14/20 | Loss: 1.2754 Acc: 65.72% | LR: 2.85e-07
Epoch 15/20 | Loss: 1.2942 Acc: 65.90% | LR: 2.32e-07
Epoch 16/20 | Loss: 1.2602 Acc: 66.13% | LR: 1.86e-07
Epoch 17/20 | Loss: 1.2665 Acc: 65.97% | LR: 1.49e-07
Epoch 18/20 | Loss: 1.2745 Acc: 66.06% | LR: 1.22e-07
Epoch 19/20 | Loss: 1.2811 Acc: 66.35% | LR: 1.06e-07
Epoch 20/20 | Loss: 1.2714 Acc: 66.61% | LR: 1.00e-07

Feature extractor saved: experiment/yamnet_fewshot_osr17/base_feature_extractor.pth

======================================================================
Phase 1: Feature Extraction
======================================================================
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_calib_pro_1s.pt
索引映射构建完成，总样本数: 18000
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_eval_pro_1s.pt
索引映射构建完成，总样本数: 18000
Loading cached features from experiment/fewshot_cache/train_features.pt (version: v19_distil_ast_panns)
  Classes: [0, 1, 2, 3, 4, 5]
    Class 0: 5000 samples
    Class 1: 5000 samples
    Class 2: 5000 samples
    Class 3: 5000 samples
    Class 4: 5000 samples
    Class 5: 5000 samples
Loading cached features from experiment/fewshot_cache/calib_features.pt (version: v19_distil_ast_panns)
  Classes: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
    Class 0: 1800 samples
    Class 1: 1800 samples
    Class 2: 1800 samples
    Class 3: 1800 samples
    Class 4: 1800 samples
    Class 5: 1800 samples
    Class 6: 1800 samples
    Class 7: 1800 samples
    Class 8: 1800 samples
    Class 9: 1800 samples
Loading cached features from experiment/fewshot_cache/test_features.pt (version: v19_distil_ast_panns)
  Classes: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
    Class 0: 1800 samples
    Class 1: 1800 samples
    Class 2: 1800 samples
    Class 3: 1800 samples
    Class 4: 1800 samples
